Place,County,Population,Population Density,Per capita income,Median household income,Median family income
Tres Pinos,San Benito,457,127.1,"$40,395 ","$75,893 ","$124,000 "
Trinidad,Humboldt,236,486.6,"$34,981 ","$42,917 ","$83,750 "
Trinity Center,Trinity,239,45.7,"$24,426 ","$26,859 ","$26,830 "
Trinity Village,Trinity,211,52.6,"$25,325 ","$32,292 ","$33,571 "
Trona,Inyo,0,0,[7],[7],[7]
Trowbridge,Sutter,184,27.3,"$19,087 ","$52,917 ","$78,750 "
Truckee,Nevada,16191,500.9,"$37,117 ","$72,159 ","$82,356 "
Tulare,Tulare,60663,2977.3,"$18,336 ","$46,387 ","$50,690 "
Tulelake,Siskiyou,1029,2509.8,"$17,233 ","$35,208 ","$35,227 "
Tuolumne City,Tuolumne,1824,782.2,"$21,238 ","$33,030 ","$34,821 "
Tupman,Kern,176,333.3,"$16,889 ","$45,313 ","$45,938 "
Turlock,Stanislaus,69875,4127.8,"$22,847 ","$51,594 ","$59,645 "
Tustin,Orange,77765,6988.2,"$31,392 ","$71,105 ","$77,327 "
Tuttle,Merced,17,9.7,[7],[7],[7]
Tuttletown,Tuolumne,949,129.1,"$35,006 ","$47,794 ","$60,724 "
Twain,Plumas,0,0,[7],[7],[7]
Twain Harte,Tuolumne,2374,641.8,"$29,206 ","$43,625 ","$58,939 "
Twentynine Palms,San Bernardino,25601,432.9,"$20,510 ","$40,890 ","$42,914 "
Twin Lakes,Santa Cruz,5212,7553.6,"$33,493 ","$50,933 ","$72,432 "
Ukiah,Mendocino,15956,3416.7,"$23,443 ","$42,237 ","$53,145 "
Union City,Alameda,71675,3694.6,"$30,158 ","$82,564 ","$93,050 "
"University of California, Davis",Yolo,6735,4603.6,"$6,412 ","$25,462 ","$29,095 "
"University of California, Merced",Merced,0,0,[7],[7],[7]
Upland,San Bernardino,75089,4808.2,"$29,064 ","$61,551 ","$68,353 "
Upper Lake,Lake,755,448.9,"$18,717 ","$32,438 ","$47,880 "
Vacaville,Solano,93994,3311.6,"$30,111 ","$74,207 ","$85,931 "
Valinda,Los Angeles,23818,11826.2,"$17,809 ","$66,697 ","$67,367 "
Vallecito,Calaveras,573,66.9,"$28,131 ","$83,487 ","$84,375 "
Vallejo,Solano,118078,3849.8,"$25,945 ","$58,472 ","$67,543 "
Valle Vista,Riverside,15995,2328.9,"$20,501 ","$40,010 ","$46,584 "
Valley Acres,Kern,717,173.9,"$28,066 ","$47,466 ","$60,938 "
Valley Center,San Diego,9872,360,"$31,746 ","$85,176 ","$94,094 "
Valley Ford,Sonoma,167,63.2,"$9,490 ","$9,312 ",[7]
Valley Home,Stanislaus,292,284.9,"$16,302 ","$36,964 ","$37,321 "
Valley Ranch,Plumas,68,59.8,"$44,196 ","$115,000 ","$115,000 "
Valley Springs,Calaveras,3631,367.8,"$28,566 ","$67,827 ","$71,964 "
Valley Wells,Inyo,0,0,[7],[7],[7]
Val Verde,Los Angeles,2550,994.2,"$19,594 ","$68,017 ","$69,856 "
Vandenberg AFB,Santa Barbara,3464,157.2,"$20,710 ","$61,308 ","$60,260 "
Vandenberg Village,Santa Barbara,7133,1359.4,"$34,667 ","$77,551 ","$98,265 "
Verdi,Sierra,92,22,"$11,680 ","$4,853 ",[7]
Vernon,Los Angeles,59,11.9,"$19,973 ","$38,500 ","$38,250 "
Victor,San Joaquin,605,482.1,"$7,873 ","$19,259 ","$35,250 "
Victorville,San Bernardino,119603,1631,"$15,873 ","$47,142 ","$50,608 "
View Park-Windsor Hills,Los Angeles,11374,6178.2,"$44,586 ","$76,461 ","$109,939 "
Villa Park,Orange,5911,2843.2,"$65,733 ","$150,864 ","$157,910 "
Vina,Tehama,161,119.1,"$17,404 ","$26,250 ","$24,821 "
Vincent,Los Angeles,17687,12015.6,"$20,142 ","$76,682 ","$74,880 "
Vine Hill,Contra Costa,4296,2860.2,"$21,948 ","$62,857 ","$65,729 "
Vineyard,Sacramento,25640,1490.4,"$26,688 ","$76,084 ","$78,987 "
Visalia,Tulare,126942,3407.1,"$22,885 ","$52,262 ","$56,766 "
Vista,San Diego,96181,5148.9,"$21,161 ","$47,782 ","$53,505 "
Vista Santa Rosa,Riverside,2815,174.6,"$15,530 ","$52,713 ","$49,688 "
Volcano,Amador,0,0,[7],[7],[7]
Volta,Merced,257,58.8,"$19,853 ","$42,464 ","$63,500 "
Walker,Mono,540,29.3,"$39,294 ","$63,889 ","$77,461 "
Wallace,Calaveras,682,157.1,"$53,687 ","$72,120 ","$105,056 "
Walnut,Los Angeles,29822,3316.5,"$35,064 ","$100,934 ","$107,750 "
Walnut Creek,Contra Costa,65923,3336.4,"$51,998 ","$80,399 ","$112,114 "
Walnut Grove,Sacramento,1137,111.5,"$32,844 ","$65,463 ","$70,240 "
Walnut Park,Los Angeles,16039,21442.5,"$13,044 ","$41,202 ","$41,809 "
Warm Springs,Riverside,3163,2132.8,"$20,851 ","$80,042 ","$75,714 "
Warner Valley,Plumas,5,0.3,[7],[7],[7]
Wasco,Kern,25865,2744,"$10,931 ","$39,273 ","$40,437 "
Washington,Nevada,17,8.9,[7],[7],[7]
Waterford,Stanislaus,8579,3685.1,"$15,757 ","$44,660 ","$49,583 "
Waterloo,San Joaquin,384,70.7,"$36,472 ","$132,125 ","$143,083 "
Watsonville,Santa Cruz,52085,7787.8,"$17,377 ","$46,691 ","$48,957 "
Waukena,Tulare,173,183.7,"$18,462 ","$46,750 ","$66,094 "
Wawona,Mariposa,167,26.3,"$16,110 ","$47,656 ","$7,308 "
Weaverville,Trinity,3294,316,"$24,043 ","$42,165 ","$52,712 "
Weed,Siskiyou,2937,613.2,"$14,202 ","$29,200 ","$37,639 "
Weedpatch,Kern,2170,610.1,"$9,981 ","$28,075 ","$28,636 "
Weldon,Kern,2604,97.7,"$19,074 ","$30,988 ","$46,875 "
Weott,Humboldt,152,202.4,"$27,832 ","$93,393 ","$93,393 "
West Athens,Los Angeles,8615,6448.4,"$16,499 ","$38,371 ","$41,473 "
West Bishop,Inyo,2865,327.1,"$37,527 ","$83,125 ","$93,571 "
West Carson,Los Angeles,20766,9164.2,"$28,307 ","$62,414 ","$72,548 "
West Covina,Los Angeles,107441,6697.9,"$24,944 ","$67,069 ","$72,751 "
West Goshen,Tulare,633,537.4,"$7,653 ","$20,350 ","$14,572 "
Westhaven-Moonstone,Humboldt,962,118.9,"$30,340 ","$54,261 ","$60,750 "
West Hollywood,Los Angeles,35053,18576,"$54,352 ","$56,025 ","$70,438 "
Westlake Village,Los Angeles,8393,1618.7,"$62,394 ","$115,550 ","$145,106 "
Westley,Stanislaus,853,489.4,"$7,011 ","$18,462 ","$18,462 "
West Menlo Park,San Mateo,3743,7685.8,"$82,841 ","$169,798 ","$192,250 "
Westminster,Orange,91255,9086.4,"$22,821 ","$53,660 ","$57,262 "
West Modesto,Stanislaus,5534,2786.5,"$12,356 ","$27,297 ","$28,103 "
Westmont,Los Angeles,30835,16685.6,"$14,176 ","$27,072 ","$31,813 "
Westmorland,Imperial,1747,2961,"$11,257 ","$22,372 ","$24,464 "
West Park,Fresno,792,442,"$14,550 ","$36,389 ","$38,167 "
West Point,Calaveras,743,199.8,"$17,924 ","$28,262 ","$29,022 "
West Puente Valley,Los Angeles,23868,12770.5,"$17,005 ","$62,669 ","$65,052 "
West Rancho Dominguez,Los Angeles,21739,5470.3,"$16,783 ","$44,909 ","$48,736 "
West Sacramento,Yolo,49946,2323.5,"$25,081 ","$53,307 ","$62,905 "
West Whittier-Los Nietos,Los Angeles,26590,10555.8,"$19,949 ","$62,486 ","$65,326 "
Westwood,Lassen,1509,277.6,"$20,710 ","$33,452 ","$54,135 "
Wheatland,Yuba,3494,2143.6,"$21,363 ","$61,370 ","$66,347 "
Whitehawk,Plumas,41,15.9,"$37,346 ","$76,944 ",[7]
Whitewater,Riverside,469,47.5,"$13,003 ","$15,500 ","$34,375 "
Whitley Gardens,San Luis Obispo,166,120.6,"$47,110 ","$85,385 ","$103,971 "
Whittier,Los Angeles,86400,5898,"$27,632 ","$65,583 ","$74,628 "
Wildomar,Riverside,33601,1418.5,"$22,380 ","$60,816 ","$63,592 "
Wilkerson,Inyo,550,96,"$32,961 ","$73,125 ","$76,750 "
Williams,Colusa,5166,948.9,"$18,878 ","$54,069 ","$56,232 "
Willits,Mendocino,4853,1734.5,"$18,502 ","$34,186 ","$50,233 "
Willowbrook,Los Angeles,20897,13508.1,"$11,840 ","$37,760 ","$37,750 "
Willow Creek,Humboldt,1425,47,"$18,701 ","$35,607 ","$53,523 "
Willows,Glenn,6118,2148.9,"$24,044 ","$38,730 ","$59,952 "
Wilsonia,Tulare,0,0,[7],[7],[7]
Wilton,Sacramento,4670,161,"$36,737 ","$81,250 ","$99,135 "
Winchester,Riverside,2717,351.4,"$26,244 ","$57,935 ","$59,293 "
Windsor,Sonoma,27113,3730.5,"$33,615 ","$81,442 ","$93,921 "
Winter Gardens,San Diego,20346,4593.8,"$26,701 ","$61,759 ","$66,738 "
Winterhaven,Imperial,151,618.9,"$17,087 ","$21,793 ",[7]
Winters,Yolo,6843,2331.5,"$27,983 ","$59,856 ","$67,422 "
Winton,Merced,11774,3871.8,"$13,230 ","$41,091 ","$41,203 "
Wofford Heights,Kern,2043,337.3,"$23,742 ","$30,500 ","$43,750 "
Woodacre,Marin,1778,989.4,"$50,853 ","$88,657 ","$104,783 "
Woodbridge,San Joaquin,3973,1318.6,"$34,483 ","$72,452 ","$91,701 "
Woodcrest,Riverside,15951,1397.9,"$29,068 ","$86,095 ","$88,207 "
Woodlake,Tulare,7452,3227.4,"$12,469 ","$35,509 ","$37,711 "
Woodland,Yolo,56390,3684.2,"$25,149 ","$54,532 ","$66,901 "
Woodlands,San Luis Obispo,448,271.2,"$59,986 ","$79,864 ","$88,864 "
Woodside,San Mateo,5427,462.6,"$125,559 ","$206,528 ","$242,143 "
Woodville,Tulare,1961,450.6,"$11,897 ","$34,750 ","$31,071 "
Wrightwood,San Bernardino,4452,751.3,"$29,168 ","$55,697 ","$57,139 "
Yankee Hill,Butte,242,40.2,"$21,555 ","$33,500 ","$53,875 "
Yettem,Tulare,285,1862.7,"$7,478 ",[7],[7]
Yolo,Yolo,561,406.5,"$22,830 ","$75,089 ","$90,764 "
Yorba Linda,Orange,66335,3434.6,"$47,852 ","$115,994 ","$128,542 "
Yosemite Lakes,Madera,4668,223.3,"$34,430 ","$59,750 ","$69,583 "
Yosemite Valley,Mariposa,877,425.9,"$26,579 ","$37,250 ","$111,875 "
Yountville,Napa,2977,1944.5,"$51,554 ","$65,568 ","$90,391 "
Yreka,Siskiyou,7675,768.7,"$18,142 ","$26,385 ","$31,728 "
Yuba City,Sutter,65141,4446.8,"$23,038 ","$50,494 ","$56,734 "
Yucaipa,San Bernardino,52406,1845.2,"$26,103 ","$58,506 ","$69,098 "
Yucca Valley,San Bernardino,21083,526.9,"$20,643 ","$43,086 ","$53,767 "
Zayante,Santa Cruz,853,313,"$31,533 ","$81,308 ","$93,490 "
